J,v,e/f,Ref,TypeTag,Lifetime_Obs,Unc_Obs,Lifetime_Calc,Unc_Calc,OC,RealDifference
0.5,4,f,05DePoDe,Exp,22.0,1.833333333,18.77797226264416,2.2784861029009464,3.222027737355841,0
1.5,4,f,05DePoDe,Exp,23.0,2.0,18.663101382713712,2.3007762089644808,4.336898617286288,0.03612240832180724
2.5,4,f,05DePoDe,Exp,18.0,1.24137931,19.689439203932157,2.394315760607822,-1.6894392039321566,0
3.5,4,f,05DePoDe,Exp,21.0,1.615384615,19.404496575575457,2.584213653935443,1.5955034244245425,0
4.5,4,f,05DePoDe,Exp,20.0,1.481481481,16.66434909923382,2.131954910785619,3.335650900766179,0
5.5,4,f,05DePoDe,Exp,21.0,1.615384615,17.428811216360916,2.1198474889643775,3.5711887836390837,0
6.5,4,f,05DePoDe,Exp,18.0,1.2,15.480897569131521,2.187706192308455,2.519102430868479,0
7.5,4,f,05DePoDe,Exp,17.0,1.096774194,15.545118433168136,1.903929396654605,1.4548815668318635,0
2.5,2,f,21SuZhZh,Exp,130000.0,30.0,125698.20326478024,28797.860962620885,4301.796735219759,0
0.5,4,f,21SuZhZh,Exp,14.0,3.0,18.77797226264416,2.2784861029009464,-4.777972262644159,0
13.5,0,f,78BrErLy,Exp,830000.0,20000.0,6322599.630218059,3446440.647828504,-5492599.630218059,2026158.9823895548
22.5,0,e,78BrErLy,Exp,1110000.0,30000.0,5328477.383226011,2904545.933418786,-4218477.383226011,1283931.4498072248
23.5,0,e,78BrErLy,Exp,1020000.0,30000.0,4703421.786674277,2563828.959215203,-3683421.786674277,1089592.827459074
23.5,0,f,78BrErLy,Exp,1060000.0,20000.0,6555802.190759455,3573559.053363196,-5495802.190759455,1902243.1373962588
24.5,0,e,78BrErLy,Exp,900000.0,50000.0,2208991.3011400634,1204118.2197529278,-1308991.3011400634,54873.081387135666
24.5,0,f,78BrErLy,Exp,920000.0,30000.0,2203179.6829869077,1406803.2743050337,-1283179.6829869077,0
25.5,0,e,78BrErLy,Exp,580000.0,30000.0,1109451.935003276,604760.7739279553,-529451.935003276,0
25.5,0,f,78BrErLy,Exp,680000.0,20000.0,760844.7162440579,186482.0278419223,-80844.71624405787,0
26.5,0,e,78BrErLy,Exp,340000.0,15000.0,477899.00192125305,128975.89846209991,-137899.00192125305,0
26.5,0,f,78BrErLy,Exp,370000.0,15000.0,298887.84422614885,77470.32387557358,71112.15577385115,0
27.5,0,e,78BrErLy,Exp,150000.0,10000.0,161310.94194974893,50427.2175483556,-11310.941949748929,0
27.5,0,f,78BrErLy,Exp,180000.0,10000.0,131165.05150914818,28190.148797051217,48834.94849085182,10644.799693800604
28.5,0,e,78BrErLy,Exp,110000.0,15000.0,86810.79909301846,14313.126948362229,23189.20090698154,0
28.5,0,f,78BrErLy,Exp,105000.0,10000.0,52434.061169996174,9987.902678181661,52565.938830003826,32578.036151822165
29.5,0,f,78BrErLy,Exp,100000.0,10000.0,26370.20297297453,3973.7674633587794,73629.79702702547,59656.02956366669
7.5,1,e,78BrErLy,Exp,770000.0,20000.0,13496407.20954423,7356873.61640115,-12726407.20954423,5349533.59314308
8.5,1,e,78BrErLy,Exp,800000.0,20000.0,25442079.052227303,13868443.44718347,-24642079.052227303,10753635.605043834
9.5,1,e,78BrErLy,Exp,790000.0,20000.0,5599496.880564785,3052278.300895957,-4809496.880564785,1737218.5796688278
10.5,1,e,78BrErLy,Exp,800000.0,20000.0,8208231.2268679,4474295.922811279,-7408231.2268679,2913935.304056621
11.5,1,e,78BrErLy,Exp,810000.0,20000.0,7113860.819707596,3877756.0696484074,-6303860.819707596,2406104.7500591883
12.5,1,e,78BrErLy,Exp,850000.0,20000.0,11758249.978324607,6409406.421837424,-10908249.978324607,4478843.556487183
13.5,1,e,78BrErLy,Exp,840000.0,20000.0,5019771.069556613,2736270.5324924723,-4179771.0695566135,1423500.5370641411
13.5,1,f,78BrErLy,Exp,830000.0,20000.0,4810466.761753368,2622179.0327348267,-3980466.761753368,1338287.7290185415
14.5,1,e,78BrErLy,Exp,790000.0,30000.0,6539686.253823836,3564774.2775777266,-5749686.253823836,2154911.9762461097
14.5,1,f,78BrErLy,Exp,820000.0,20000.0,1999622.8393502154,1089991.7497425256,-1179622.8393502154,69631.08960768976
15.5,1,e,78BrErLy,Exp,670000.0,40000.0,580400.4250960114,142255.37211656128,89599.57490398863,0
15.5,1,f,78BrErLy,Exp,730000.0,30000.0,1406270.5580090273,884612.4179775764,-676270.5580090273,0
16.5,1,e,78BrErLy,Exp,490000.0,40000.0,867281.6903318185,282248.11802154867,-377281.69033181854,55033.57231026987
16.5,1,f,78BrErLy,Exp,560000.0,40000.0,691150.2056278362,173574.31539095144,-131150.20562783617,0
17.5,1,e,78BrErLy,Exp,220000.0,30000.0,435649.9613869779,104895.84622470051,-215649.96138697793,80754.11516227742
17.5,1,f,78BrErLy,Exp,290000.0,30000.0,253988.28153882173,73863.8361054696,36011.71846117827,0
18.5,1,f,78BrErLy,Exp,170000.0,30000.0,133468.31462337702,33438.69861487185,36531.685376622976,0
19.5,1,f,78BrErLy,Exp,110000.0,30000.0,66330.08558794617,9120.270546240281,43669.914412053826,4549.643865813545
0.5,2,e,78BrErLy,Exp,150000.0,20000.0,171563.02081966613,37111.88791753987,-21563.020819666126,0
0.5,2,f,78BrErLy,Exp,150000.0,20000.0,167208.98265029452,39687.68976750315,-17208.98265029452,0
1.5,2,e,78BrErLy,Exp,135000.0,15000.0,162717.09973561173,33795.57804797109,-27717.09973561173,0
1.5,2,f,78BrErLy,Exp,135000.0,15000.0,151196.65190500702,34922.46792685465,-16196.65190500702,0
2.5,2,e,78BrErLy,Exp,130000.0,10000.0,135393.2427401297,30416.715860900713,-5393.242740129703,0
2.5,2,f,78BrErLy,Exp,130000.0,10000.0,125698.20326478024,28797.860962620885,4301.796735219759,0
3.5,2,e,78BrErLy,Exp,115000.0,10000.0,112583.37109036767,24839.194926549317,2416.6289096323308,0
3.5,2,f,78BrErLy,Exp,115000.0,10000.0,102797.6492789477,22842.279823755103,12202.350721052295,0
4.5,2,e,78BrErLy,Exp,92000.0,10000.0,90252.28217765053,13096.928180309334,1747.7178223494702,0
4.5,2,f,78BrErLy,Exp,92000.0,10000.0,78559.1211101313,11832.553539496766,13440.878889868705,0
5.5,2,e,78BrErLy,Exp,72000.0,6000.0,65551.43532456402,9783.219277059865,6448.564675435977,0
5.5,2,f,78BrErLy,Exp,72000.0,6000.0,52773.602732962616,9240.58763674717,19226.397267037384,3985.809630290214
6.5,2,e,78BrErLy,Exp,57000.0,5000.0,60715.1350981699,10190.064748267856,-3715.1350981698997,0
6.5,2,f,78BrErLy,Exp,57000.0,5000.0,51707.3711090322,6936.147052880009,5292.628890967797,0
7.5,2,e,78BrErLy,Exp,49000.0,5000.0,33854.28451417448,5916.40643407488,15145.715485825524,4229.3090517506425
7.5,2,f,78BrErLy,Exp,49000.0,5000.0,30480.49425809915,6042.686532936141,18519.50574190085,7476.819208964711
8.5,2,e,78BrErLy,Exp,44000.0,4000.0,27614.436921455646,3660.337504372552,16385.563078544354,8725.225574171802
8.5,2,f,78BrErLy,Exp,44000.0,4000.0,22565.812030989742,3577.501627436268,21434.187969010258,13856.68634157399
9.5,2,e,78BrErLy,Exp,39000.0,4000.0,16548.846689479215,2842.6735287114293,22451.153310520785,15608.479781809356
9.5,2,f,78BrErLy,Exp,39000.0,4000.0,14416.377626897685,2531.9511494182325,24583.622373102313,18051.67122368408
11.5,2,e,78BrErLy,Exp,33000.0,3000.0,7692.847937415106,1135.2643488822953,25307.152062584893,21171.8877137026
11.5,2,f,78BrErLy,Exp,33000.0,3000.0,5775.811821781044,1053.2292619371044,27224.188178218956,23170.958916281852
0.5,3,e,91GrFa,Exp,500.0,150.0,223.1443056046135,31.52194864068273,276.85569439538654,95.33374575470381
0.5,3,f,91GrFa,Exp,280.0,84.0,212.92198996732967,26.196910924774386,67.07801003267033,0
1.5,3,e,91GrFa,Exp,270.0,81.0,207.6636049177557,25.412479181007235,62.33639508224431,0
1.5,3,f,91GrFa,Exp,299.0,102.0,208.77397623400194,27.296555402173098,90.22602376599806,0
2.5,3,e,91GrFa,Exp,380.0,114.0,207.14272723121428,27.077418387220817,172.85727276878572,31.779854381564917
2.5,3,f,91GrFa,Exp,461.0,352.0,234.30299169285405,28.731091123100367,226.69700830714595,0
3.5,3,e,91GrFa,Exp,230.0,69.0,221.28999366121886,28.027352813915517,8.710006338781142,0
3.5,3,f,91GrFa,Exp,251.0,24.0,200.534243716397,28.35504456434417,50.465756283603014,0
4.5,3,e,91GrFa,Exp,150.0,45.0,183.20835313107963,22.592772170558693,-33.20835313107963,0
4.5,3,f,91GrFa,Exp,250.0,75.0,186.41178259026373,23.565387245227896,63.588217409736274,0
5.5,3,e,91GrFa,Exp,110.0,33.0,180.25507506038787,22.21720982438279,-70.25507506038787,15.037865236005075
5.5,3,f,91GrFa,Exp,210.0,63.0,161.73997848167528,20.546571943444885,48.26002151832472,0
6.5,3,e,91GrFa,Exp,110.0,33.0,140.60810874738212,17.863866335731494,-30.60810874738212,0
6.5,3,f,91GrFa,Exp,107.0,14.0,145.86843109212404,18.285120946089133,-38.86843109212404,6.583310146034904
7.5,3,f,91GrFa,Exp,73.0,8.0,126.30073827117751,15.747663959001947,-53.30073827117751,29.55307431217556
8.5,3,f,91GrFa,Exp,90.0,27.0,111.01976073234701,13.827759415880145,-21.01976073234701,0
9.5,3,f,91GrFa,Exp,90.0,27.0,92.18972903501833,11.392967496748994,-2.189729035018331,0
0.5,3,f,92HeCrJe,Exp,303.030303,45.45454545,212.92198996732967,26.196910924774386,90.10831303267034,18.456856657895955
1.5,3,e,92HeCrJe,Exp,263.1578947,39.47368421,207.6636049177557,25.412479181007235,55.494289782244294,0
1.5,3,f,92HeCrJe,Exp,294.1176471,44.11764707,208.77397623400194,27.296555402173098,85.34367086599806,13.929468393824976
2.5,3,e,92HeCrJe,Exp,285.7142857,42.85714286,207.14272723121428,27.077418387220817,78.57155846878572,8.636997221564911
2.5,3,f,92HeCrJe,Exp,312.5,46.875,234.30299169285405,28.731091123100367,78.19700830714595,2.59091718404558
3.5,3,e,92HeCrJe,Exp,263.1578947,39.47368421,221.28999366121886,28.027352813915517,41.86790103878113,0
3.5,3,f,92HeCrJe,Exp,285.7142857,42.85714286,200.534243716397,28.35504456434417,85.18004198360302,13.967854559258853
4.5,3,e,92HeCrJe,Exp,227.2727273,34.0909091,183.20835313107963,22.592772170558693,44.06437416892038,0
4.5,3,f,92HeCrJe,Exp,250.0,37.5,186.41178259026373,23.565387245227896,63.588217409736274,2.5228301645083775
5.5,3,e,92HeCrJe,Exp,208.3333333,31.25,180.25507506038787,22.21720982438279,28.078258239612126,0
5.5,3,f,92HeCrJe,Exp,212.7659574,31.91489361,161.73997848167528,20.546571943444885,51.02597891832471,0
6.5,3,e,92HeCrJe,Exp,196.0784314,29.41176471,140.60810874738212,17.863866335731494,55.47032265261788,8.194691606886387
6.5,3,f,92HeCrJe,Exp,238.0952381,35.71428572,145.86843109212404,18.285120946089133,92.22680700787595,38.22740034178682
7.5,3,e,92HeCrJe,Exp,151.5151515,22.72727273,132.6726045403386,16.894680189903596,18.842546959661405,0
7.5,3,f,92HeCrJe,Exp,175.4385965,26.31578948,126.30073827117751,15.747663959001947,49.13785822882248,7.074404789820534
8.5,3,e,92HeCrJe,Exp,123.4567901,18.51851852,114.91719285515761,14.544465924357448,8.539597244842398,0
8.5,3,f,92HeCrJe,Exp,120.4819277,18.07228916,111.01976073234701,13.827759415880145,9.46216696765299,0
9.5,3,e,92HeCrJe,Exp,120.4819277,18.07228916,101.72977258587947,12.760241707247873,18.752155114120526,0
9.5,3,f,92HeCrJe,Exp,99.00990099,14.85148515,92.18972903501833,11.392967496748994,6.820171954981674,0
10.5,3,e,92HeCrJe,Exp,96.15384615,14.42307692,89.54633470614847,11.093094449495926,6.607511443851536,0
10.5,3,f,92HeCrJe,Exp,99.00990099,14.85148515,76.12817486122592,10.106905007372797,22.88172612877409,0
11.5,3,e,92HeCrJe,Exp,95.23809524,14.28571429,74.05151397945859,9.12054227252162,21.186581260541416,0
11.5,3,f,92HeCrJe,Exp,75.18796992,11.27819549,63.672734864894814,7.8449429578010434,11.515235055105187,0
12.5,3,e,92HeCrJe,Exp,63.29113924,9.493670886,65.35812107020571,8.01445742379425,-2.0669818302057124,0
12.5,3,f,92HeCrJe,Exp,71.94244604,10.79136691,56.134748735527445,6.865536798347765,15.807697304472548,0
13.5,3,e,92HeCrJe,Exp,63.29113924,9.493670886,55.59556026373763,6.812176399915132,7.695578976262368,0
13.5,3,f,92HeCrJe,Exp,62.89308176,9.433962264,48.646939601781604,6.185231655105589,14.246142158218397,0
4.5,3,e,97SpMeMe,Exp,154.0,12.48648649,183.20835313107963,22.592772170558693,-29.208353131079633,0
5.5,3,e,97SpMeMe,Exp,156.0,12.51336898,180.25507506038787,22.21720982438279,-24.255075060387867,0
5.5,3,f,97SpMeMe,Exp,167.0,13.22772277,161.73997848167528,20.546571943444885,5.26002151832472,0
6.5,3,e,97SpMeMe,Exp,145.0,12.64534884,140.60810874738212,17.863866335731494,4.3918912526178815,0
6.5,3,f,97SpMeMe,Exp,144.0,11.65317919,145.86843109212404,18.285120946089133,-1.868431092124041,0
7.5,3,e,97SpMeMe,Exp,116.0,9.382352941,132.6726045403386,16.894680189903596,-16.672604540338597,0
7.5,3,f,97SpMeMe,Exp,134.0,10.95597484,126.30073827117751,15.747663959001947,7.699261728822492,0
8.5,3,e,97SpMeMe,Exp,99.0,8.684210526,114.91719285515761,14.544465924357448,-15.917192855157609,0
8.5,3,f,97SpMeMe,Exp,107.0,8.492063492,111.01976073234701,13.827759415880145,-4.0197607323470095,0
9.5,3,e,97SpMeMe,Exp,96.0,7.926605505,101.72977258587947,12.760241707247873,-5.7297725858794735,0
9.5,3,f,97SpMeMe,Exp,87.0,7.752475248,92.18972903501833,11.392967496748994,-5.189729035018331,0
10.5,3,e,97SpMeMe,Exp,73.0,7.3,89.54633470614847,11.093094449495926,-16.54633470614847,0
10.5,3,f,97SpMeMe,Exp,85.0,6.803534304,76.12817486122592,10.106905007372797,8.871825138774085,0
11.5,3,e,97SpMeMe,Exp,51.0,5.1,74.05151397945859,9.12054227252162,-23.05151397945859,8.830971706936971
11.5,3,f,97SpMeMe,Exp,61.0,6.757754801,63.672734864894814,7.8449429578010434,-2.6727348648948137,0
12.5,3,e,97SpMeMe,Exp,44.0,6.637931034,65.35812107020571,8.01445742379425,-21.358121070205712,6.705732612411463
12.5,3,f,97SpMeMe,Exp,47.0,7.498054475,56.134748735527445,6.865536798347765,-9.134748735527445,0
13.5,3,e,97SpMeMe,Exp,40.0,4.842615012,55.59556026373763,6.812176399915132,-15.595560263737632,3.940768851822499
13.5,3,f,97SpMeMe,Exp,38.0,5.7,48.646939601781604,6.185231655105589,-10.646939601781604,0
14.5,3,f,97SpMeMe,Exp,29.0,4.881188119,41.028720418559026,5.084983709144177,-12.028720418559026,2.062548590414849
23.5,0,e,99PaYa,Theory,6124000.0,,4703421.786674277,2563828.959215203,1420578.213325723,0
24.5,0,e,99PaYa,Theory,2078000.0,,2208991.3011400634,1204118.2197529278,-130991.30114006344,0
24.5,0,f,99PaYa,Theory,2846000.0,,2203179.6829869077,1406803.2743050337,642820.3170130923,0
25.5,0,e,99PaYa,Theory,755000.0,,1109451.935003276,604760.7739279553,-354451.935003276,0
25.5,0,f,99PaYa,Theory,978000.0,,760844.7162440579,186482.0278419223,217155.28375594213,30673.25591401983
26.5,0,e,99PaYa,Theory,294000.0,,477899.00192125305,128975.89846209991,-183899.00192125305,54923.103459153135
26.5,0,f,99PaYa,Theory,361000.0,,298887.84422614885,77470.32387557358,62112.15577385115,0
27.5,0,e,99PaYa,Theory,121000.0,,161310.94194974893,50427.2175483556,-40310.94194974893,0
27.5,0,f,99PaYa,Theory,142000.0,,131165.05150914818,28190.148797051217,10834.94849085182,0
28.5,0,e,99PaYa,Theory,53000.0,,86810.79909301846,14313.126948362229,-33810.79909301846,19497.67214465623
28.5,0,f,99PaYa,Theory,60000.0,,52434.061169996174,9987.902678181661,7565.938830003826,0
29.5,0,e,99PaYa,Theory,24000.0,,41109.949388124034,5463.536995298838,-17109.949388124034,11646.412392825197
29.5,0,f,99PaYa,Theory,26000.0,,26370.20297297453,3973.7674633587794,-370.20297297453,0
30.5,0,f,99PaYa,Theory,12000.0,,12572.620398616618,2066.9328880646362,-572.6203986166183,0
13.5,1,e,99PaYa,Theory,9666000.0,,5019771.069556613,2736270.5324924723,4646228.930443387,1909958.3979509142
14.5,1,e,99PaYa,Theory,3720000.0,,6539686.253823836,3564774.2775777266,-2819686.2538238363,0
14.5,1,f,99PaYa,Theory,5157000.0,,1999622.8393502154,1089991.7497425256,3157377.160649785,2067385.4109072592
15.5,1,e,99PaYa,Theory,1493000.0,,580400.4250960114,142255.37211656128,912599.5749039886,770344.2027874273
15.5,1,f,99PaYa,Theory,1977000.0,,1406270.5580090273,884612.4179775764,570729.4419909727,0
16.5,1,e,99PaYa,Theory,620000.0,,867281.6903318185,282248.11802154867,-247281.69033181854,0
16.5,1,f,99PaYa,Theory,792000.0,,691150.2056278362,173574.31539095144,100849.79437216383,0
17.5,1,e,99PaYa,Theory,269000.0,,435649.9613869779,104895.84622470051,-166649.96138697793,61754.11516227742
17.5,1,f,99PaYa,Theory,332000.0,,253988.28153882173,73863.8361054696,78011.71846117827,4147.882355708673
18.5,1,e,99PaYa,Theory,122000.0,,189554.462362922,46459.54657137188,-67554.462362922,21094.91579155012
18.5,1,f,99PaYa,Theory,144000.0,,133468.31462337702,33438.69861487185,10531.685376622976,0
19.5,1,e,99PaYa,Theory,57000.0,,90851.16073108529,18040.4632802869,-33851.160731085285,15810.697450798387
19.5,1,f,99PaYa,Theory,65000.0,,66330.08558794617,9120.270546240281,-1330.0855879461742,0
20.5,1,f,99PaYa,Theory,31000.0,,30966.622183092983,5540.883124804869,33.377816907017404,0
0.5,2,e,99PaYa,Theory,139000.0,,171563.02081966613,37111.88791753987,-32563.020819666126,0
0.5,2,f,99PaYa,Theory,141000.0,,167208.98265029452,39687.68976750315,-26208.98265029452,0
1.5,2,e,99PaYa,Theory,127000.0,,162717.09973561173,33795.57804797109,-35717.09973561173,1921.5216876406412
1.5,2,f,99PaYa,Theory,130000.0,,151196.65190500702,34922.46792685465,-21196.65190500702,0
2.5,2,e,99PaYa,Theory,110000.0,,135393.2427401297,30416.715860900713,-25393.242740129703,0
2.5,2,f,99PaYa,Theory,114000.0,,125698.20326478024,28797.860962620885,-11698.20326478024,0
3.5,2,e,99PaYa,Theory,90000.0,,112583.37109036767,24839.194926549317,-22583.37109036767,0
3.5,2,f,99PaYa,Theory,94000.0,,102797.6492789477,22842.279823755103,-8797.649278947705,0
4.5,2,e,99PaYa,Theory,70000.0,,90252.28217765053,13096.928180309334,-20252.28217765053,7155.353997341195
4.5,2,f,99PaYa,Theory,75000.0,,78559.1211101313,11832.553539496766,-3559.1211101312947,0
5.5,2,e,99PaYa,Theory,54000.0,,65551.43532456402,9783.219277059865,-11551.435324564023,1768.2160475041583
5.5,2,f,99PaYa,Theory,57000.0,,52773.602732962616,9240.58763674717,4226.397267037384,0
6.5,2,e,99PaYa,Theory,39000.0,,60715.1350981699,10190.064748267856,-21715.1350981699,11525.070349902044
6.5,2,f,99PaYa,Theory,41000.0,,51707.3711090322,6936.147052880009,-10707.371109032203,3771.224056152194
7.5,2,e,99PaYa,Theory,28000.0,,33854.28451417448,5916.40643407488,-5854.2845141744765,0
7.5,2,f,99PaYa,Theory,29000.0,,30480.49425809915,6042.686532936141,-1480.4942580991483,0
8.5,2,e,99PaYa,Theory,19000.0,,27614.436921455646,3660.337504372552,-8614.436921455646,4954.0994170830945
8.5,2,f,99PaYa,Theory,20000.0,,22565.812030989742,3577.501627436268,-2565.812030989742,0
9.5,2,e,99PaYa,Theory,13000.0,,16548.846689479215,2842.6735287114293,-3548.8466894792145,706.1731607677852
9.5,2,f,99PaYa,Theory,13000.0,,14416.377626897685,2531.9511494182325,-1416.3776268976853,0
10.5,2,e,99PaYa,Theory,9000.0,,11140.360947501915,1682.2809849802736,-2140.360947501915,458.07996252164116
10.5,2,f,99PaYa,Theory,9000.0,,9623.04409545613,1795.6749354962762,-623.0440954561309,0
11.5,2,f,99PaYa,Theory,6000.0,,5775.811821781044,1053.2292619371044,224.18817821895573,0
0.5,3,e,99PaYa,Theory,194.0,,223.1443056046135,31.52194864068273,-29.144305604613493,0
0.5,3,f,99PaYa,Theory,193.0,,212.92198996732967,26.196910924774386,-19.921989967329665,0
1.5,3,e,99PaYa,Theory,188.0,,207.6636049177557,25.412479181007235,-19.66360491775569,0
1.5,3,f,99PaYa,Theory,187.0,,208.77397623400194,27.296555402173098,-21.773976234001935,0
2.5,3,e,99PaYa,Theory,179.0,,207.14272723121428,27.077418387220817,-28.14272723121428,1.0653088439934635
2.5,3,f,99PaYa,Theory,180.0,,234.30299169285405,28.731091123100367,-54.30299169285405,25.571900569753684
3.5,3,e,99PaYa,Theory,167.0,,221.28999366121886,28.027352813915517,-54.28999366121886,26.26264084730334
3.5,3,f,99PaYa,Theory,165.0,,200.534243716397,28.35504456434417,-35.534243716396986,7.179199152052817
4.5,3,e,99PaYa,Theory,153.0,,183.20835313107963,22.592772170558693,-30.208353131079633,7.615580960520941
4.5,3,f,99PaYa,Theory,150.0,,186.41178259026373,23.565387245227896,-36.411782590263726,12.84639534503583
5.5,3,e,99PaYa,Theory,139.0,,180.25507506038787,22.21720982438279,-41.25507506038787,19.03786523600508
5.5,3,f,99PaYa,Theory,135.0,,161.73997848167528,20.546571943444885,-26.73997848167528,6.193406538230395
6.5,3,e,99PaYa,Theory,123.0,,140.60810874738212,17.863866335731494,-17.60810874738212,0
6.5,3,f,99PaYa,Theory,120.0,,145.86843109212404,18.285120946089133,-25.86843109212404,7.583310146034908
7.5,3,e,99PaYa,Theory,108.0,,132.6726045403386,16.894680189903596,-24.672604540338597,7.777924350435001
7.5,3,f,99PaYa,Theory,105.0,,126.30073827117751,15.747663959001947,-21.300738271177508,5.553074312175561
8.5,3,e,99PaYa,Theory,94.0,,114.91719285515761,14.544465924357448,-20.91719285515761,6.372726930800161
8.5,3,f,99PaYa,Theory,90.0,,111.01976073234701,13.827759415880145,-21.01976073234701,7.192001316466865
9.5,3,e,99PaYa,Theory,82.0,,101.72977258587947,12.760241707247873,-19.729772585879473,6.9695308786316
9.5,3,f,99PaYa,Theory,78.0,,92.18972903501833,11.392967496748994,-14.189729035018331,2.7967615382693367
10.5,3,e,99PaYa,Theory,70.0,,89.54633470614847,11.093094449495926,-19.54633470614847,8.453240256652546
10.5,3,f,99PaYa,Theory,67.0,,76.12817486122592,10.106905007372797,-9.128174861225915,0
11.5,3,e,99PaYa,Theory,60.0,,74.05151397945859,9.12054227252162,-14.05151397945859,4.930971706936971
11.5,3,f,99PaYa,Theory,57.0,,63.672734864894814,7.8449429578010434,-6.672734864894814,0
12.5,3,e,99PaYa,Theory,51.0,,65.35812107020571,8.01445742379425,-14.358121070205712,6.343663646411462
12.5,3,f,99PaYa,Theory,49.0,,56.134748735527445,6.865536798347765,-7.134748735527445,0.26921193717967995
13.5,3,e,99PaYa,Theory,44.0,,55.59556026373763,6.812176399915132,-11.595560263737632,4.7833838638224995
13.5,3,f,99PaYa,Theory,51.0,,48.646939601781604,6.185231655105589,2.353060398218396,0
14.5,3,e,99PaYa,Theory,38.0,,46.89370290320002,5.929408811905967,-8.893702903200023,2.9642940912940556
14.5,3,f,99PaYa,Theory,36.0,,41.028720418559026,5.084983709144177,-5.0287204185590255,0
15.5,3,e,99PaYa,Theory,32.0,,39.54659626080959,4.853879346708667,-7.5465962608095865,2.6927169141009193
15.5,3,f,99PaYa,Theory,31.0,,34.01646897930484,4.199087327272031,-3.0164689793048396,0
16.5,3,e,99PaYa,Theory,28.0,,34.66934802609247,4.3071330613097825,-6.669348026092472,2.362214964782689
16.5,3,f,99PaYa,Theory,27.0,,28.547431959520377,3.512646196853983,-1.5474319595203774,0
17.5,3,f,99PaYa,Theory,23.0,,24.524311007396133,3.2525165777332092,-1.5243110073961326,0
0.5,4,e,99PaYa,Theory,18.0,,19.45503772095007,2.3566337402486712,-1.4550377209500702,0
0.5,4,f,99PaYa,Theory,18.0,,18.77797226264416,2.2784861029009464,-0.777972262644159,0
1.5,4,e,99PaYa,Theory,18.0,,18.643898010907925,2.2611904563969776,-0.6438980109079253,0
1.5,4,f,99PaYa,Theory,18.0,,18.663101382713712,2.3007762089644808,-0.6631013827137124,0
2.5,4,e,99PaYa,Theory,18.0,,18.764175345050802,2.3048717510061842,-0.764175345050802,0
2.5,4,f,99PaYa,Theory,18.0,,19.689439203932157,2.394315760607822,-1.6894392039321566,0
3.5,4,e,99PaYa,Theory,18.0,,20.066315689938826,2.7854993105806494,-2.0663156899388255,0
3.5,4,f,99PaYa,Theory,18.0,,19.404496575575457,2.584213653935443,-1.4044965755754575,0
4.5,4,e,99PaYa,Theory,17.0,,21.12299470475962,2.91954314863271,-4.12299470475962,1.2034515561269097
4.5,4,f,99PaYa,Theory,17.0,,16.66434909923382,2.131954910785619,0.3356509007661792,0
5.5,4,e,99PaYa,Theory,17.0,,17.12140330770447,2.143262341311436,-0.12140330770446894,0
5.5,4,f,99PaYa,Theory,17.0,,17.428811216360916,2.1198474889643775,-0.42881121636091635,0
6.5,4,e,99PaYa,Theory,16.0,,17.893450943065567,2.172013274466349,-1.8934509430655666,0
6.5,4,f,99PaYa,Theory,16.0,,15.480897569131521,2.187706192308455,0.5191024308684788,0
7.5,4,e,99PaYa,Theory,15.0,,16.051934512582402,2.0597928189730013,-1.0519345125824024,0
7.5,4,f,99PaYa,Theory,16.0,,15.545118433168136,1.903929396654605,0.45488156683186354,0
8.5,4,e,99PaYa,Theory,15.0,,15.413166213648445,1.9946183422616308,-0.4131662136484451,0
8.5,4,f,99PaYa,Theory,15.0,,13.79240458518423,1.6898480304555035,1.2075954148157706,0
9.5,4,e,99PaYa,Theory,14.0,,14.33929201586317,1.7532317921765725,-0.3392920158631707,0
9.5,4,f,99PaYa,Theory,15.0,,12.682364349300073,1.617934444644758,2.317635650699927,0.6997012060551688
10.5,4,f,99PaYa,Theory,14.0,,11.352977384343381,1.3847851671212172,2.647022615656619,1.2622374485354015
